text,label
"En concurrencia, los deadlocks ocurren cuando varios hilos esperan recursos en un ciclo de dependencia.",avanzado
"Un árbol B se usa en bases de datos para optimizar búsquedas.",avanzado
"El algoritmo de Kruskal encuentra un árbol de expansión mínima.",avanzado
"En criptografía, RSA usa clave pública y privada.",avanzado
"El teorema CAP indica que no se puede tener consistencia, disponibilidad y tolerancia a particiones al mismo tiempo.",avanzado
"Un sistema distribuido reparte tareas entre múltiples nodos.",avanzado
"Los microservicios dividen aplicaciones en componentes independientes.",avanzado
"El patrón Singleton asegura que una clase tenga solo una instancia.",avanzado
"MapReduce procesa grandes volúmenes de datos en paralelo.",avanzado
"En aprendizaje automático, el overfitting ocurre cuando el modelo memoriza en lugar de generalizar.",avanzado
"Los autómatas finitos se usan en compiladores y teoría de lenguajes.",avanzado
"En sistemas operativos, la planificación de CPU decide qué proceso se ejecuta primero.",avanzado
"Un lock asegura exclusión mutua en acceso a recursos compartidos.",avanzado
"Los grafos dirigidos representan relaciones con direcciones específicas.",avanzado
"En bases de datos, ACID asegura integridad de transacciones.",avanzado
"El patrón Factory Method delega la creación de objetos a subclases.",avanzado
"Los árboles AVL se balancean automáticamente para mejorar búsquedas.",avanzado
"En inteligencia artificial, los algoritmos genéticos simulan evolución.",avanzado
"Los protocolos de consenso como Paxos aseguran coherencia en sistemas distribuidos.",avanzado
"Un cluster Hadoop distribuye procesamiento de datos masivos.",avanzado
"El algoritmo A* busca caminos óptimos usando heurísticas.",avanzado
"Los lenguajes funcionales como Haskell priorizan funciones puras.",avanzado
"En deep learning, una red convolucional procesa imágenes.",avanzado
"El patrón Decorator añade responsabilidades a objetos en tiempo de ejecución.",avanzado
"En sistemas, la segmentación de memoria organiza procesos en bloques lógicos.",avanzado
"Los algoritmos de hashing distribuyen claves en tablas hash.",avanzado
"El algoritmo de Bellman-Ford encuentra caminos más cortos con pesos negativos.",avanzado
"En bases de datos distribuidas, el sharding divide datos en fragmentos.",avanzado
"El patrón Proxy controla el acceso a un objeto.",avanzado
"Los sistemas tolerantes a fallos siguen funcionando ante errores.",avanzado
"Un grafo bipartito divide nodos en dos conjuntos sin conexiones internas.",avanzado
"El aprendizaje por refuerzo entrena agentes a través de recompensas.",avanzado
"El patrón Adapter convierte la interfaz de una clase en otra esperada.",avanzado
"Los compiladores convierten código fuente en ejecutable.",avanzado
"Un algoritmo de backtracking explora soluciones probando y retrocediendo.",avanzado
"En concurrencia, semáforos controlan el acceso a recursos.",avanzado
"El protocolo OAuth gestiona autenticación segura en aplicaciones.",avanzado
"Las arquitecturas orientadas a eventos reaccionan a sucesos en tiempo real.",avanzado
"El aprendizaje no supervisado agrupa datos sin etiquetas.",avanzado
"Un Trie optimiza búsquedas de cadenas en diccionarios.",avanzado
"El patrón Composite trata objetos individuales y compuestos de forma uniforme.",avanzado
"Los sistemas embebidos integran software en dispositivos físicos.",avanzado
"En cloud computing, la elasticidad permite escalar recursos dinámicamente.",avanzado
"El patrón Command encapsula una petición como objeto.",avanzado
"Un sistema de colas distribuye tareas entre procesos.",avanzado
"En bases de datos NoSQL, los documentos se almacenan como JSON.",avanzado
"Los algoritmos de clustering como K-means agrupan datos por similitud.",avanzado
